GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
40085976034158,085976034150,MANISCHEWITZ CONCORD GRAPE 6/1.5L BOTTLE,08597603415,085976034150,MANISCHEWITZ CONCORD GRAPE OUP
00074806184400,074806184400,DAILYS PINA COLADA WINE POUCH 1 CT 0.2LT,07480618440,074806184400,DAILYS RTD POUCH PN COLADA 24P
00857280008444,857280008444,FLYING EMBERS BERRY KOMBUCHA 12OZ 4PK,11111111111,857280008444,FLYING EMBERS ANCIENT BERRY HARD KOMBUCHA 6/4 12OZ CANS
30085000020303,085000020302,DARKHORSE CABERNET SAUVIGNON 750ML BOTTLE,11111111111,085000020302,DARK HORSE CAB SAUV 750
00083120101895,083120101895,FRANZIA BOX CABERNET SAUV 5 LTR+,08312010189,083120101895,FRANZIA CABERNET VS     BNB 5L
00722358411108,722358411108,LOS VASCOS COLCHAGUA VALLEY CABERNET SAUVIGNON 12/750ML BOTTLE,11111111111,722358411108,LOS VASCOS CAB
00669576019245,669576019245,DUCKHORN DECOY SONOMA COUNTY CHARDONNAY 12/750ML,66957601924,669576019245,DECOY CHARD 750ML
00856036001197,856036001197,UNDERWOOD ROSE BUBBLES 375ML,85603600119,856036001197,UNDERWOOD ROSE BUBBLES CN 375M
00081434700193,081434700193,BLACK BOX RED BLEND ELEGANCE 6/3L,08143470019,081434700193,BLACK BOX RED DECADENCE 6PK 3L
00856845002071,856845002071,CATAWBA VALLEY BREWING CO. IPA CAN 12 OZ,11111111111,856845002071,CATAWBA HOPNESS HAZE 24/12 CAN 4/6
00074806184103,074806184103,DAILYS MARGARITA WINE POUCH 1 CT 0.2LT,07480618410,074806184103,DAILYS RTD POUCH MARGARITA 24P
00089924532491,089924532491,YUENGLING TRADITIONAL LAGER BEER 6 CT 16 OZ CAN 96 OZ,11111111111,089924532491,YUENGLING LAGER 6/16OZ CAN
10081434710014,081434710017,BLACK BOX PINOT NOIR CALIFORNIA 6/3L BOX,08143471001,081434710017,BLACK BOX P NOIR 6PK 3L
00083120000976,083120000976,OAK LEAF SWT RD RED GENRC OTH 750 ML,83120000983,083120000976,OAK LEAF RED BLEND
00034100087227,034100087227,REDDS APPLE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,11111111111,034100087227,REDDS APPLE 2/12 BTL
00074780004022,074780004022,PERRIER SPARKLING MINERAL WATER 24/500ML PET,11111111111,074780004022,PERRIER SPARKLING _ WATER 24/.5 L PET
00082000776925,082000776925,SMIRNOFF ICE SMASH SCREWDRIVER MALT BEVERAGE 1 CT 24 OZ CAN 23.5 OZ,11111111111,082000776925,SMIRNOFF SMASHED SCREWDRIVER 12/23.5 CAN
00085000045367,085000045367,BAREFOOT CHARDONNAY6/4/187ML PLASTIC BOTTLE PET,08500004536,085000045367,BAREFOOT CHARDONNAY
00850633006036,850633006036,BIRDSONG BREWING COMPANY SEASONAL,11111111111,850633006036,BIRDSONG MEXICALI STOUT 6/4/16OZ CAN
00085000020319,085000020319,DARK HORSE CAL CHARDONNAY 750 ML,85000020319,085000020319,W DARKHORSE CHARD 750ML
