INVOICE_UPC_CASE,LEN(INVOICE_UPC_CASE),INVOICE_UPC_PACK,LEN(INVOICE_UPC_PACK),INVOICE_PACKAGE_DESCRIPTION
11111111111,11,082000792574,12,SPIKED SELTZER RW&B 2/12/12 CN
11111111111,11,018341151053,12,BAREFOOT CHARD 1.5
88110150563,11,088110150563,12,HENNESSY VS COGNAC
08769230050,11,087692300502,12,SAM SUM 4/6PK 12 OZ NR
08600312189,11,086003121898,12,MOND MERLOT NAPA +14% 750ML
08823200262,11,088232002627,12,SEBASTIANI CHARD SON CST 750ML
85333600501,11,853336005016,12,SOCIAL SPRKL HIBISC CUCMBR 6/4
96749935406,11,096749935406,12,DUB SLOE GIN 30
08735651044,11,087356510445,12,CLOS DU BOIS P GRIGIO 750ML
08751291235,11,087512912359,12,R STRONG CAB SONOMA +14 750ML
11111111111,11,071990281519,12,KEYSTONE ICE 2/15 12OZ CANS
11111111111,11,071990480493,12,KEY LT KEYLIGHTFUL 2/12/12 CN
89801200271,11,898012002712,12,MERCER FAM VYDS HHH CHARD 750M
63981916830,11,639819168306,12,NAKED MTN CHARDONNAY 10719
11111111111,11,853295008097,12,CS NITRO PEANUT BUTTER PORTER 6/4 16OZ CAN
80480000264,11,080480000264,12,BAC DRAGON BRY RUM BAR
87712301069,11,087712301069,12,FOUR VIRTUES BB LODI CAB 16
11111111111,11,085000024904,12,APOTHIC INFERNO 750
11111111111,11,072890004789,12,HEINEKEN 12/22 BTL
11111111111,11,089744760500,12,LUIGI BOSCA MALBEC
08200076200,11,082000773696,12,SMIR WTR M 4/6 11.2 OZNR
11111111111,11,733555251329,12,CHATEAU MONTELENA CABERNET SAUVIGNON NAPA 2018 12/750ML
11111111111,11,850002665024,12,COMMONHOUSE WHITE POINT LAGER 24/12 CAN 4/6
11111111111,11,603675101777,12,ALLAGASH WHITE 6/4 16OZ CANS
11111111111,11,865431000117,12,BIG TIMBER IPA 6/4/16 CAN
11111111111,11,603675230682,12,ALLAGASH LITTLE GROVE PEACH & KOMBUCHA SESSION ALE 4/6 12OZ CANS
11111111111,11,868448000217,12,TREEHORN GINGER RESERVE CIDER 4/6/12Z CN
11111111111,11,111111111117,12,NOBLE HARD CIDER STANDARD BEARER 1/6BBL
66957601940,11,669576019405,12,DUCKHORN SAUV BLANC 750ML
11111111111,11,071990095277,12,COORS LIGHT 15/16OZ ALUM
11111111111,11,865431000100,12,BIG TIMBER PORTER 6/4/16 CAN
11111111111,11,850009785244,12,WICKED WEED COASTAL LOVE 24/12 CAN 4/6
11111111111,11,819942001262,12,OB DOUBLE CAN OBLISS 4/6/12 CN
