,PRODUCT_MASTER_CATALOG_KEY,PRODUCT_DESCRIPTION
134,364920,JARRITOS MANDARIN 8/1.5L PLASTIC BOTTLES
135,361547,OAK LEAF CAL WHT ZINFANDEL 3.0 LTR
136,351939,MINERAGUA 12.5 OZ GLASS BOTTLE
137,360514,GALLO FAM TV CA PN GRIS/GRGIO 1.5 LTR
138,341655,OLD MILWAUKEE LIGHT BEER 30 CT 12 OZ CAN IN BOX 360 OZ
139,360279,ANDRE EX DRY CHMPGNE X DRY 750 ML
140,342504,BUDWEISER BEER 15 CT 16 OZ CAN IN BOX 240 OZ
141,341661,OLD MILWAUKEE LIGHT BEER 12 CT 12 OZ CAN IN BOX 144 OZ
142,344821,HEINEKEN BEER 3 CT 24 OZ PLASTIC WRAPPED CAN 72 OZ
143,343269,BUSCH BEER 18 CT 12 OZ CAN IN BOX 216 OZ
144,343219,KING COBRA MALT LIQUOR 1 CT 32 OZ GLASS BOTTLE 32 OZ
145,363272,LABATT BLUE BEER 15 CT 12 OZ CAN IN BOX 180 OZ
146,361590,FRANZIA RCH&BUT AUST CHARDNNY 5 LTR+
147,360199,CARLO ROSSI SWT RED GENRC OTH 4.0 LTR
148,367782,CHIVAS REGAL SCOTCH 12YR 1.75L BOTTLE
149,359100,BELVEDERE VDK 80 PRF 1000 ML
150,365497,FOUR PEAKS KILT LIFTER SCOTTISH STYLE ALE 4/6/12OZ LONG NECK BOTTLE
151,365836,DR. PEPPER SODA 1L
152,349487,CORONA FAMILIAR BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
153,358614,1800 SLVR TQL 750 ML
154,365856,KENTUCKY GENTLEMAN BOURBON A BLEND 80 1.75L
155,365828,BLACK BOX MALBEC CHILE 6/3L
156,362836,HENRY WEINHARDS PRIVATE RESERVE 4/6/12OZ BOTTLES
157,367889,ALEXANDER VALLEY VINEYARDS ESTATE CABERNET SAUVIGNON 2018 12/750ML BOTTLE
158,362687,NEW BELGIUM VOODOO RANGER IMPERIAL IPA 2/12/12 BOTTLES
159,364781,BLACK BOX CALIFORNIA MERLOT 6/3L
160,342343,MICHELOB ULTRA LIME CACTUS BEER 1 CT 12 OZ LONG NECK BOTTLE 12 OZ
161,65361,CENTERPOINT BLOOD ORANGE 12OZ/6PK
162,365436,MILAGRO SILVER TEQUILA 12/750ML
163,366708,FOUR PEAKS HOP KNOT IPA 2/15PK 12OZ CAN
164,360264,TOTT'S EXT DRY CHMPGNE X DRY 750 ML
165,366084,FOUR ROSES SMALL BATCH KENTUCKY STRAIGHT BOURBON WHISKEY 90PF 6/750ML
166,348841,SMIRNOFF ICE SMASH SCREWDRIVER MALT BEVERAGE 1 CT 24 OZ CAN 23.5 OZ
167,347145,LONG TRAIL IPA PACK VARIETY PACK BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ
168,359732,COULSONS VDK CTRN 60 PRF PLST 1750 ML
169,365396,GEKKEIKAN SAKE 12/750ML
170,15392,YELLOW TAIL PINOT NOIR 6/1500 REGULAR LABEL
171,367903,HOGUE LATE HARVEST RIESLING 12/750ML BOTTLE
172,351999,ESSENTIA WATER 12/1.5L BOX
173,344726,HEINEKEN BEER 24 CT 12 OZ CAN IN BOX 288 OZ
174,361976,SUTTER HOME MERLOT 187 ML
175,365748,BACARDI SUPERIOR WHITE RUM 80 12/1L
176,124058,OWEN'S CRAFT MIXERS TRANSFUSION COCKTAIL MIX 8OZ-4PK CAN
177,343105,MICHELOB GOLDEN LIGHT BEER 24 CT 16 OZ CAN IN BOX 384 OZ
178,352601,YUENGLING TRADITIONAL LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
179,366795,LIVINGSTON CELLARS CHARDONNAY 3L BOTTLE
180,109873,URBAN SOUTH PARADISE SELTZER ROCKET POP 6 PK CAN
181,362031,MENAGE A TR MSC WHT VARTL OTH 750 ML
182,130129,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL OVERLAY
183,345179,MXD LONG ISLAND ICED TEA MALT BEVERAGE 1 CT 16 OZ CAN
184,365453,LIBERTY CREEK MERLOT 6/1.5L
185,107882,TUPPS BREWERY JUICE PACK
186,357005,100 PIPERS SCTC BLND 80 PROOF 1000 ML
187,342453,BUDWEISER BEER 4 CT 16 OZ CAN 64 OZ
188,341040,MILLER LITE BEER 20 CT 12 OZ LONG NECK BTL IN BOX 240 OZ
189,327931,SZA HRN REPO 750X12 40% W/HSHTG 6/12 RF
190,348707,MODELO CHELADA ESPECIAL BEER 12 CT 24 OZ CAN IN BOX 288 OZ
191,364790,NOBILO SAUVIGNON BLANC MARLBOROUGH 12/750ML
192,326275,JIM BEAM BLCK
193,174295,GOLDEN ROAD PALISADES PINEAPPLE 6-PACK 12 OZ CANS
194,366166,FUNKY BUDDHA HARD SELTZER VARIETY 2/12/12OZ CAN
195,356017,BACARDI GLD RUM 80 PRF 750 ML
196,367031,GOOD 2 GROW FRUIT FUSION LOW SUGAR 12/6OZ PET
197,360931,GALLO FM SW APL FRUIT OTHER 1.5 LTR
198,365329,SVEDKA VODKA 80 STARS & STRIPES 6/1.75LT
199,342463,BUDWEISER BEER 15 CT 25 OZ CAN IN BOX 375 OZ
200,344348,ABITA SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ
201,362707,BUDWEISER 2/15/12OZ CAN
202,362867,SPARKLING ICE +CAFFEINE BLUE RASPBERRY 12/16OZ CANS
203,363063,BOULEVARD EASY SPORT RALLY ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ
204,348907,SMIRNOFF ICE RED WHITE & BERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ
205,356038,BACARDI RUM LIMON 750 ML
206,344819,HEINEKEN 0.0 BEER 6 CT 11 OZ LONG NECK BOTTLE CARTON 67.2 OZ
207,365771,ARBOR MIST MANGO STRAWBERRY MOSCATO 6/1.5L
208,367420,REYKA VODKA 6/1L BOTTLE
209,364753,NESQUIK SNICKERS RTD 12/14OZ PLASTIC BOTTLES
210,10982,AVALINE ROSE WINE 750ML BT
211,99982,SLOOP JUICE BOMB 4/6 CAN
212,342810,NATURAL LIGHT BEER 1 CT 25 OZ CAN 25 OZ
213,343113,BUD LIGHT ORANGE BEER 24 CT 12 OZ LONG NECK BTL CRTN 288 OZ
214,130751,ANGRY ORCHARD CARTON 4X6PK MOTHER ANGRY ORCHARD ROSE
215,365359,FIREBALL CANADIAN CINNAMON FLAVORED WHISKEY 12/750ML PLASTIC BOTTLE
216,366576,SPATEN LAGER 4/6P/12OZ BOTTLE
217,366869,HERRADURA REPOSADO TEQUILA 6/750ML BOTTLE
218,365480,SUTTER HOME CHARDONNAY 6/1.5L
219,25415,BLEU CLAIR FRENCH VODKA 750ML
220,361822,SEAGLASS S BARB SAV BL/FME BL 750 ML
221,364856,HEINEKEN LIGHT 2/12/12OZ CANS
222,342452,BUDWEISER BEER 1 CT 16 OZ CAN 16 OZ
223,176705,TERRAPIN BEER SEASONAL SESSION 6PK 12OZ CAN
224,342687,STELLA ARTOIS SEASONAL BEER 12 CT 12 OZ LONG NECK BOTTLE IN BOX 144 OZ
225,16151,SECOND SIGHT SCOTCH - 22OZ BLACK RAVEN
226,328486,EFN VODKA RAINBOW CASE 750X6 MISSISSPPI
227,341044,MILLER LITE BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
228,366078,LINDEMAN PINOT GRIGIO BIN 85 12/750ML
229,365338,BOGLE VINEYARDS CALIFORNIA MERLOT 12/750ML
230,365427,7 DEADLY ZINS ZINFANDEL 12/750ML
231,365841,CANADA DRY DIET TONIC WATER 1L PLASTIC BOTTLE PET
232,341350,COORS LIGHT BEER 1 CT 992 OZ KEG 992 OZ
233,352668,DOS EQUIS XX LAGER ESPECIAL BEER 4 CT 16 OZ CAN 64 OZ
234,366976,14 HANDS PINOT GRIGIO 12/750ML BOTTLE
235,131093,TRULY TRAY 24OZ CAN TRULY PINEAPPLE
236,356287,CASTILLO LGHT RUM SLVR PLST 1750 ML
237,359969,WHITE CLAW VARIETY PACK #3 2X12 12OZ CAN
238,343338,BUD LIGHT LIME MANG O RITA MALT BEVERAGE 15 CT 25 OZ CAN IN BOX 375 OZ
239,366609,CALIBER CITRUS FLAVORED VODKA 6/1.75L 
240,326220,JBM 4YR 750X6 40% W/2 ROCK GLASSES VAP
241,364506,VPX REIGN 16OZ STRAWBERRY BLONDE CAN
242,73554,FAT HEAD'S BREWERY BUMBLE BERRY 15PK CAN OUTER
243,365424,JOEL GOTT CALIFORNIA SPECIAL SELECT SAUVIGNON BLANC 12/750ML
244,145171,AVALON NV CABERNET SAUVIGNON
245,344735,HEINEKEN BEER 1 CT 16 OZ CAN IN BOX 16 OZ
246,366163,JOSH CELLARS MERLOT 12/750ML
247,366129,VICTORY GOLDEN / SOUR MONKEY 4/6/12OZ CAN
248,130509,TRULY CARRIER 6X12OZ BOTTLES TRULY COLIMA LIME
249,362812,ICEHOUSE 4/6/16OZ CANS
250,77770,SIX BRIDGES BREWING MEDLOCK IPA
251,344388,21ST AMENDMENT SEASONAL BEER 6 CT 12 OZ CAN IN CARTON 72 OZ
252,362871,SPARKLING ICE LEMON LIM E 12/17OZ PLASTIC BOTTLES
253,351028,RED BULL - BEVERAGE ENERGY DRINK 20OZ EACH
254,328286,PN VDK FR ORG 1750X6 40% FOOTBALL PD
255,328281,PINNACLE VDK FRENCH ORG 750X12 40% NZ
256,105331,WHITE RAJAH 4/6 NR CANS
257,363505,LABATT BLUE BEER 15 CT 12 OZ LONG NECK BOTTLE IN BOX 172.5 OZ
258,360970,BAREFOOT CAL ROSE 1.5 LTR
259,352694,PILSNER URQUELL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ
